time,Currency,Price
2023-05-04 23:40:32.377648,BTCUSDT,28863.11000000
2023-05-04 23:40:32.909996,ETHUSDT,1875.52000000
2023-05-04 23:40:33.126348,BTCUSDT,28863.11000000
2023-05-04 23:40:33.345020,ETHUSDT,1875.52000000
2023-05-04 23:40:33.929112,BTCUSDT,28863.11000000
2023-05-04 23:40:34.147284,ETHUSDT,1875.52000000
2023-05-04 23:40:34.357920,BTCUSDT,28863.11000000
2023-05-04 23:40:34.567745,ETHUSDT,1875.52000000
2023-05-04 23:40:34.786581,BTCUSDT,28863.11000000
2023-05-04 23:40:35.008317,ETHUSDT,1875.52000000
2023-05-04 23:40:35.219684,BTCUSDT,28863.01000000
2023-05-04 23:40:35.435308,ETHUSDT,1875.46000000
2023-05-04 23:40:35.648100,BTCUSDT,28861.60000000
2023-05-04 23:40:36.182972,ETHUSDT,1875.27000000
2023-05-04 23:40:36.393830,BTCUSDT,28861.59000000
2023-05-04 23:40:36.600199,ETHUSDT,1875.34000000
2023-05-04 23:40:36.819948,BTCUSDT,28861.59000000
2023-05-04 23:40:37.034480,ETHUSDT,1875.40000000
2023-05-04 23:40:37.245754,BTCUSDT,28861.59000000
2023-05-04 23:40:37.466497,ETHUSDT,1875.40000000
2023-05-04 23:40:37.686648,BTCUSDT,28862.52000000
2023-05-04 23:40:37.891876,ETHUSDT,1875.48000000
2023-05-04 23:40:38.107871,BTCUSDT,28862.52000000
2023-05-04 23:40:38.325820,ETHUSDT,1875.51000000
2023-05-04 23:40:38.536802,BTCUSDT,28862.52000000
2023-05-04 23:40:38.757706,ETHUSDT,1875.51000000
2023-05-04 23:40:38.969754,BTCUSDT,28862.53000000
2023-05-04 23:40:39.189698,ETHUSDT,1875.51000000
2023-05-04 23:40:39.406650,BTCUSDT,28863.50000000
2023-05-04 23:40:39.633956,ETHUSDT,1875.66000000
2023-05-04 23:40:39.842863,BTCUSDT,28863.50000000
2023-05-04 23:40:40.067839,ETHUSDT,1875.66000000
2023-05-04 23:40:40.281479,BTCUSDT,28863.50000000
2023-05-04 23:40:40.891070,ETHUSDT,1875.66000000
2023-05-04 23:40:41.102834,BTCUSDT,28863.73000000
2023-05-04 23:40:41.321533,ETHUSDT,1875.68000000
2023-05-04 23:40:41.544717,BTCUSDT,28863.73000000
2023-05-04 23:40:41.753719,ETHUSDT,1875.68000000
2023-05-04 23:40:41.969518,BTCUSDT,28863.72000000
2023-05-04 23:40:42.187922,ETHUSDT,1875.68000000
2023-05-04 23:40:42.405391,BTCUSDT,28863.72000000
2023-05-04 23:40:42.612429,ETHUSDT,1875.68000000
2023-05-04 23:40:42.811992,BTCUSDT,28863.72000000
2023-05-04 23:40:43.026640,ETHUSDT,1875.68000000
2023-05-04 23:40:43.249731,BTCUSDT,28863.72000000
2023-05-04 23:40:43.462855,ETHUSDT,1875.68000000
2023-05-04 23:40:43.686505,BTCUSDT,28863.72000000
2023-05-04 23:40:44.274058,ETHUSDT,1875.68000000
2023-05-04 23:40:44.500831,BTCUSDT,28863.73000000
2023-05-04 23:40:44.710467,ETHUSDT,1875.68000000
2023-05-04 23:40:44.929604,BTCUSDT,28863.73000000
2023-05-04 23:40:45.145473,ETHUSDT,1875.67000000
2023-05-04 23:40:45.357869,BTCUSDT,28863.73000000
2023-05-04 23:40:45.600160,ETHUSDT,1875.67000000
2023-05-04 23:40:45.820041,BTCUSDT,28863.73000000
2023-05-04 23:40:46.052467,ETHUSDT,1875.67000000
2023-05-04 23:40:46.270560,BTCUSDT,28863.72000000
2023-05-04 23:40:46.493213,ETHUSDT,1875.67000000
2023-05-04 23:40:46.713063,BTCUSDT,28863.72000000
2023-05-04 23:40:46.926602,ETHUSDT,1875.68000000
2023-05-04 23:40:47.142491,BTCUSDT,28863.72000000
2023-05-04 23:40:47.355260,ETHUSDT,1875.68000000
2023-05-04 23:40:47.570324,BTCUSDT,28863.72000000
2023-05-04 23:40:47.782049,ETHUSDT,1875.68000000
2023-05-04 23:40:47.997174,BTCUSDT,28863.72000000
2023-05-04 23:40:48.216974,ETHUSDT,1875.68000000
2023-05-04 23:40:48.431145,BTCUSDT,28863.73000000
2023-05-04 23:40:48.648632,ETHUSDT,1875.69000000
2023-05-04 23:40:48.863635,BTCUSDT,28863.72000000
2023-05-04 23:40:49.080576,ETHUSDT,1875.69000000
2023-05-04 23:40:49.296824,BTCUSDT,28863.72000000
2023-05-04 23:40:49.507659,ETHUSDT,1875.70000000
2023-05-04 23:40:49.716091,BTCUSDT,28863.72000000
2023-05-04 23:40:49.922388,ETHUSDT,1875.70000000
2023-05-04 23:40:50.138480,BTCUSDT,28863.72000000
2023-05-04 23:40:50.351599,ETHUSDT,1875.70000000
2023-05-04 23:40:50.566725,BTCUSDT,28863.72000000
2023-05-04 23:40:50.779834,ETHUSDT,1875.70000000
2023-05-04 23:40:51.014870,BTCUSDT,28863.73000000
2023-05-04 23:40:51.236589,ETHUSDT,1875.70000000
2023-05-04 23:40:51.447617,BTCUSDT,28863.73000000
2023-05-04 23:40:51.665313,ETHUSDT,1875.70000000
2023-05-04 23:40:51.884041,BTCUSDT,28863.10000000
2023-05-04 23:40:52.107139,ETHUSDT,1875.73000000
2023-05-04 23:40:52.328280,BTCUSDT,28863.10000000
2023-05-04 23:40:52.550347,ETHUSDT,1875.73000000
2023-05-04 23:40:52.764337,BTCUSDT,28863.11000000
2023-05-04 23:40:52.970000,ETHUSDT,1875.73000000
2023-05-04 23:40:53.181835,BTCUSDT,28863.11000000
2023-05-04 23:40:53.409478,ETHUSDT,1875.73000000
2023-05-04 23:40:53.629153,BTCUSDT,28863.11000000
2023-05-04 23:40:53.843938,ETHUSDT,1875.73000000
2023-05-04 23:40:54.061100,BTCUSDT,28862.34000000
2023-05-04 23:40:54.279814,ETHUSDT,1875.73000000
2023-05-04 23:40:54.490926,BTCUSDT,28862.34000000
2023-05-04 23:40:54.712300,ETHUSDT,1875.73000000
